ID,History,CoApplicant,Accommodation,Fraud
1,current,none,own,true
2,paid,none,own,false
3,paid,none,own,false
4,paid,guarantor,rent,true
5,arrears,none,own,false
6,arrears,none,own,true
7,current,none,own,false
8,arrears,none,own,false
9,current,none,rent,false
10,none,none,own,true
11,current,coapplicant,own,false
12,current,none,own,true
13,current,none,rent,true
14,paid,none,own,false
15,arrears,none,own,false
16,current,none,own,false
17,arrears,coapplicant,rent,false
18,arrears,none,free,false
19,arrears,none,own,false
20,paid,none,own,false
